Name,Address,Latitude,Longitude
Thessaloniki Plant,"Thessaloniki,Greece",40.6401,22.9444
Roanoke Cement,"6071 Catawba Rd,Troutville,VA,USA",37.3928,-79.8784
TECO Ash Plant,"13151 Wyandotte Rd,Gibsonton,FL,33534,USA",27.844,-82.3748
Lakeland Ash Plant,"3030 E. Lake Parker Dr,Lakeland,FL,33805,USA",28.0549,-81.9404
Crystal River Ash Plant,"15760 W. Power Line St,Crystal River,FL,34428,USA",28.9025,-82.5936
Brandon Shores Ash Plant,"2010 Brandon Shores Dr,Baltimore,MD,21226,USA",39.2166,-76.55
Brunner Island Ash Plant,"1400 Wago Rd,York Haven,PA,17370,USA",40.1187,-76.7154
Longview Ash Plant,"1375 Fort Martin Road,Maidsville,WV,26541,USA",39.6378,-80.0342
Clifty Creek Ash Plant,"1335 Clifty Hollow Road,Madison,IN,47250,USA",38.7325,-85.3932
Roxboro Ash Plant,"1514 Dunnaway Rd,Semora,NC,27343,USA",36.5108,-79.2007
Cardinal Ash Plant,"306 County Road 7E,Brilliant,OH,43913,USA",40.2592,-80.6329
Roxboro Ash Plant,"1514 Dunnaway Rd,Semora,NC,27343-9057,USA",36.5108,-79.2007
Belews Creek Ash Plant,"3195 Pine Hall Rd,Belews Creek,NC,27009,USA",36.2218,-80.08
Marshall Ash Plant,"8320 NC Highway 150 E.,Terrell,NC,28682,USA",35.5542,-80.97
North Bend Ash Plant,"11021 Brower Road,North Bend,OH,45052,USA",39.1464,-84.7342
Zimmer Ash Plant,"1781 US Route 52,Moscow,OH,45153,USA",38.8506,-84.231
Belledune Ash Plant,"1558 Main St,Belledune,NB,E8G 2M3,Canada",47.8833,-65.8167
Pennsuco Block Plant,"11000 NW 121st Way,Medley,FL,33178,USA",25.8201,-80.3442
Mangonia Block Plant,"1453 53rd Street,Mangonia Park,FL,33407,USA",26.7607,-80.0698
Fort Pierce Block Plant,"4199 Selvitz Road,Fort Pierce,FL,34981,USA",27.4467,-80.3256
Melbourne Block Plant,"2575 North Avacado Ave,Melbourne,FL,32935,USA",28.0836,-80.6081
Edgewater Block Plant,"200 North Flagler,Edgewater,FL,32132,USA",28.9864,-80.8992
Orlando Block Plant,"343 Thorpe Road,Orlando,FL,32824,USA",28.4499,-81.3594
Tavares Block Plant,"4405 Lake Industrial Boulevard,Tavares,FL,32778,USA",28.8039,-81.727
Tampa Block Industrial Lane,"7801 Industrial Lane,Tampa,FL,33637,USA",28.0564,-82.3897
SW FT Myers Block Plant,"4170 Canal Street,Fort Myers,FL,33916,USA",26.6406,-81.8723
St Augustine Block Distr,"3657 Deerpark Blvd,Elkton,FL,32033,USA",29.7834,-81.4151
Jacksonville Block Distr,"6557 Greenland Road,Jacksonville,FL,32258,USA",30.2041,-81.5949
Ft Myers Block Distribution,"5550 Division Drive,Fort Myers,FL,33905,USA",26.6584,-81.8294
Clermont Block Distribution,"16375 Hartwood Marsh Road,Clermont,FL,34711,USA",28.5016,-81.7047
Cement Plant Elefsina,"Canellopoulou 1,Elefsis,19200,Greece",38.04,23.54
Cement plant Thessaloniki,"6.5km Thessaloniki Road,Efkarpia,Thessaloniki,56403,Greece",40.7166,22.91
Cement plant Patra,"Arachovitika,Drepano Achaia,26504,Greece",38.11,21.72
Pennsuco Cement Plant,"11000 NW 121 Way,Medley,FL,33178,USA",25.8201,-80.3442
Roanoke Cement Plant,"6071 Catawba Rd,Troutville,VA,24175,USA",37.3928,-79.8784
